2025-04-15 09:37:06 | DEBUG | modules.profile | Logger 'modules.profile' инициализирован с уровнем DEBUG.
2025-04-15 09:37:06 | INFO | bot | Модуль profile успешно загружен.
2025-04-15 09:37:06 | INFO | modules.profile | ✅ Бот 'Профиль' запущен в отдельном потоке.
2025-04-15 09:37:06 | INFO | bot | Модуль profile успешно зарегистрирован.
2025-04-15 09:37:06 | INFO | bot | Модуль reposts успешно загружен.
2025-04-15 09:37:06 | DEBUG | modules.subscriptions.manager | Logger 'modules.subscriptions.manager' инициализирован с уровнем DEBUG.
2025-04-15 09:37:06 | INFO | bot | handle_subscription_callback успешно импортирован.
2025-04-15 09:37:06 | INFO | bot | Функции is_user_subscribed и get_user_subscriptions успешно импортированы.
2025-04-15 09:37:06 | INFO | bot | Модуль subscriptions успешно загружен.
2025-04-15 09:37:06 | INFO | bot | Поллинг Telegram‑бота запущен в отдельном потоке.
2025-04-15 09:37:06 | INFO | modules.bot | Запуск поллинга Telegram‑бота.
2025-04-15 09:37:06 | INFO | bot | Обновление UI начато.
2025-04-15 09:37:06 | INFO | bot | StatusBar обновлён
2025-04-15 09:37:06 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:37:06 | INFO | bot | Обновление UI завершено.
2025-04-15 09:37:06 | INFO | modules.profile | 🚀 Профиль-бот: запуск поллинга
2025-04-15 09:37:16 | INFO | bot | Обновление UI начато.
2025-04-15 09:37:16 | INFO | bot | StatusBar обновлён
2025-04-15 09:37:16 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:37:16 | INFO | bot | Обновление UI завершено.
2025-04-15 09:37:26 | INFO | bot | Обновление UI начато.
2025-04-15 09:37:26 | INFO | bot | StatusBar обновлён
2025-04-15 09:37:26 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:37:26 | INFO | bot | Обновление UI завершено.
2025-04-15 09:37:35 | INFO | bot | Создаётся новый движок БД в loop id: 2185055550976
2025-04-15 09:37:35 | INFO | bot | Движок базы данных успешно инициализирован.
2025-04-15 09:37:35 | DEBUG | bot | Используется существующий движок БД, созданный в loop id: 2185055550976
2025-04-15 09:37:36 | INFO | bot | Обновление UI начато.
2025-04-15 09:37:36 | INFO | bot | StatusBar обновлён
2025-04-15 09:37:36 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:37:36 | INFO | bot | Обновление UI завершено.
2025-04-15 09:37:46 | INFO | bot | Обновление UI начато.
2025-04-15 09:37:46 | INFO | bot | StatusBar обновлён
2025-04-15 09:37:46 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:37:46 | INFO | bot | Обновление UI завершено.
2025-04-15 09:37:56 | INFO | bot | Обновление UI начато.
2025-04-15 09:37:56 | INFO | bot | StatusBar обновлён
2025-04-15 09:37:56 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:37:56 | INFO | bot | Обновление UI завершено.
2025-04-15 09:38:06 | INFO | bot | Обновление UI начато.
2025-04-15 09:38:06 | INFO | bot | StatusBar обновлён
2025-04-15 09:38:06 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:38:06 | INFO | bot | Обновление UI завершено.
2025-04-15 09:38:16 | INFO | bot | Обновление UI начато.
